run_name,lr,epochs,batch_size,val_accuracy,train_loss
run_lr001_bs32_ep5,0.001,5,32,0.5905,0.8558186100721359
run_lr001_bs64,0.001,3,64,0.553,1.2117939095497132
run_lr0005_bs64,0.0005,3,64,0.5145,1.368334511756897
